Dutch,English
goed,good
slecht,bad
hallo,hello
dank u,thank you
alsjeblieft,please
ja,yes
nee,no
misschien,maybe
waar,true
onwaar,false
morgen,tomorrow
gisteren,yesterday
welkom,welcome
tot ziens,goodbye
geen probleem,no problem
uitstekend,excellent
natuurlijk,of course
praten,talk
eten,eat
drinken,drink
kopen,buy
verkopen,sell
lopen,walk
slapen,sleep
zitten,sit
staan,stand
werken,work
spelen,play
beginnen,begin
eindigen,end
helpen,help
vinden,find
geven,give
nemen,take
zoeken,search
kijken,watch
horen,hear
zeggen,say
weten,know
denken,think
doen,do
brengen,bring
krijgen,get
vergeten,forget
herinneren,remember
willen,want
kunnen,can
zullen,shall
houden,hold
vragen,ask
antwoorden,answer
lachen,laugh
proberen,try
betalen,pay
openen,open
sluiten,close
komen,come
gaan,go
zien,see
voelen,feel
winnen,win
verliezen,lose
klein,small
lang,long
kort,short
hoog,high
laag,low
koud,cold
snel,fast
traag,slow
oud,old
nieuw,new
jong,young
duur,expensive
goedkoop,cheap
mooi,beautiful
